date,currp,openp,highp,lowp,change
2017_ 01_ 09_,1203.36,1201.00,1209.61,1200.08,0.00
2017_ 01_ 06_,1202.00,1180.79,1202.33,1179.19,0.02
2017_ 01_ 05_,1182.19,1195.15,1196.72,1179.77,-0.01
2017_ 01_ 04_,1196.15,1205.81,1210.11,1193.89,-0.01
2017_ 01_ 03_,1206.82,1202.93,1212.81,1200.39,0.00
2017_ 01_ 02_,1203.93,1205.85,1210.70,1202.19,0.00
2016_ 12_ 30_,1207.26,1205.39,1208.29,1199.73,0.00
2016_ 12_ 29_,1206.39,1210.93,1212.42,1204.59,0.00
2016_ 12_ 28_,1211.93,1206.67,1215.11,1204.60,0.00
2016_ 12_ 27_,1207.67,1199.35,1209.48,1198.89,0.01
2016_ 12_ 26_,1200.99,1199.35,1202.72,1197.04,0.00
2016_ 12_ 23_,1200.36,1204.25,1206.11,1198.90,0.00
2016_ 12_ 22_,1205.26,1193.19,1207.76,1192.59,0.01
2016_ 12_ 21_,1194.19,1191.21,1198.26,1190.75,0.00
2016_ 12_ 20_,1192.21,1186.69,1196.56,1186.55,0.00
2016_ 12_ 19_,1188.14,1185.44,1191.98,1182.71,0.00
2016_ 12_ 16_,1186.58,1182.39,1189.38,1180.15,0.00
2016_ 12_ 15_,1183.39,1178.72,1187.89,1176.55,0.00
2016_ 12_ 14_,1179.72,1163.30,1180.90,1162.18,0.01
2016_ 12_ 13_,1164.30,1163.73,1169.70,1161.35,0.00
2016_ 12_ 12_,1164.73,1171.91,1174.90,1161.69,-0.01
2016_ 12_ 09_,1172.89,1161.37,1175.06,1161.37,0.01
2016_ 12_ 08_,1162.79,1157.27,1166.43,1155.79,0.00
2016_ 12_ 07_,1158.28,1170.53,1173.40,1156.89,-0.01
2016_ 12_ 06_,1171.54,1166.15,1173.40,1165.38,0.00
2016_ 12_ 05_,1167.15,1171.70,1176.63,1165.17,0.00
2016_ 12_ 02_,1167.32,1166.73,1175.21,1163.69,0.00
2016_ 12_ 01_,1167.73,1176.39,1179.78,1165.69,-0.01
2016_ 11_ 30_,1177.80,1166.75,1179.45,1165.25,0.01
2016_ 11_ 29_,1167.76,1170.89,1175.06,1165.73,0.00
2016_ 11_ 28_,1171.89,1174.69,1176.84,1167.06,0.00
2016_ 11_ 25_,1175.77,1181.14,1183.70,1173.51,-0.01
2016_ 11_ 24_,1182.14,1180.49,1185.51,1176.25,0.00
2016_ 11_ 23_,1181.89,1169.07,1186.11,1167.65,0.01
2016_ 11_ 22_,1170.08,1179.19,1181.02,1168.49,-0.01
2016_ 11_ 21_,1180.19,1180.08,1187.81,1175.08,0.00
2016_ 11_ 18_,1181.08,1179.01,1186.89,1172.90,0.00
2016_ 11_ 17_,1180.02,1169.69,1181.19,1167.48,0.01
2016_ 11_ 16_,1170.69,1166.63,1178.10,1163.75,0.00
2016_ 11_ 15_,1167.63,1167.91,1173.31,1162.67,0.00
2016_ 11_ 14_,1168.91,1164.40,1176.91,1164.39,0.00
2016_ 11_ 11_,1165.58,1165.39,1171.77,1159.07,0.00
2016_ 11_ 10_,1166.39,1156.49,1168.07,1145.60,0.01
2016_ 11_ 09_,1157.89,1127.93,1159.01,1127.61,0.03
2016_ 11_ 08_,1128.93,1140.67,1142.51,1127.05,-0.01
2016_ 11_ 07_,1141.67,1140.45,1145.29,1137.40,0.00
2016_ 11_ 04_,1141.45,1143.47,1147.20,1138.18,0.00
2016_ 11_ 03_,1144.47,1144.05,1146.53,1135.55,0.00
2016_ 11_ 02_,1145.06,1144.85,1153.01,1140.95,0.00
2016_ 11_ 01_,1145.85,1141.73,1148.34,1138.10,0.00
2016_ 10_ 31_,1142.73,1146.26,1149.81,1139.42,0.00
2016_ 10_ 28_,1147.32,1146.41,1149.94,1142.51,0.00
2016_ 10_ 27_,1147.41,1137.75,1149.05,1135.90,0.01
2016_ 10_ 26_,1138.76,1129.23,1139.23,1127.82,0.01
2016_ 10_ 25_,1130.23,1134.59,1140.40,1128.79,0.00
